#header
Geneid	Chr	Start	End	Strand	Length	bamfiles/Wt1-1a_1415.bam	bamfiles/Wt1-1b_1415.bam	bamfiles/Wt1-1c_1415.bam	bamfiles/Wt1-2a_1415.bam	bamfiles/Wt1-2b_1415.bam	bamfiles/Wt1-3a_1415.bam	bamfiles/Wt1-3b_1415.bam	bamfiles/Wt1-3c_1415.bam	bamfiles/Wt1-4a_1415.bam	bamfiles/Wt1-4b_1415.bam	bamfiles/Wt1-4c_1415.bam	bamfiles/Wt1-5a_1415.bam	bamfiles/Wt1-5b_1415.bam	bamfiles/Wt1-5c_1415.bam	bamfiles/Wt1-6b_1415.bam	bamfiles/Wt1-6c_1415.bam	bamfiles/Wt2-1a_1415.bam	bamfiles/Wt2-1b_1415.bam	bamfiles/Wt2-1c_1415.bam	bamfiles/Wt2-2b_1415.bam	bamfiles/Wt2-2c_1415.bam	bamfiles/Wt2-3a_1415.bam	bamfiles/Wt2-3b_1415.bam	bamfiles/Wt2-3c_1415.bam	bamfiles/Wt2-4a_1415.bam	bamfiles/Wt2-5a_1415.bam	bamfiles/Wt2-5b_1415.bam	bamfiles/Wt2-5c_1415.bam	bamfiles/Wt2-6a_1415.bam	bamfiles/Wt2-6b_1415.bam	bamfiles/Wt2-6c_1415.bam
pdam_00000247	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	2917;2984;3989;5678;6110;6505	2960;3261;4115;5739;6241;6706	+;+;+;+;+;+	845	2	2	7	6	13	4	2	3	2	2	11	9	10	6	2	4	12	13	8	0	4	18	13	1	7	5	12	15	22	13	12
pdam_00000248	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	7226;8192;8646;9706;11961	7538;8339;8972;11389;12145	+;+;+;+;+	2657	27	18	19	13	17	42	21	40	14	27	20	26	41	42	57	47	41	17	29	8	33	24	44	27	41	37	47	28	53	43	63
pdam_00000249	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	24481;24916;25523;25703	24556;24972;25576;26145	+;+;+;+	630	24	20	10	5	62	4	3	79	10	6	8	7	52	14	201	9	45	17	0	0	1	7	2	6	19	3	104	5	509	13	14
pdam_00000250	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	34309;35223;35522;35771;36210;36549;37009;37905;38583;41759;42656	34471;35324;35650;35878;36311;36641;37104;38440;38931;41944;43107	+;+;+;+;+;+;+;+;+;+;+	2316	24	19	11	5	44	8	7	44	4	9	7	3	26	19	59	30	48	36	21	3	0	4	8	9	5	27	45	8	117	21	32
pdam_00000251	SczhEnG_1415;SczhEnG_1415	43730;44076	43772;44497	+;+	465	2	1	0	0	0	0	2	2	0	1	1	0	1	2	1	2	1	0	0	0	0	0	0	1	0	1	0	0	2	1	0
pdam_00000252	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	49105;54661;55149;55787;56983	49897;54795;55226;55858;58808	+;+;+;+;+	2904	133	52	47	22	178	26	63	327	25	29	21	33	188	160	305	52	118	38	7	6	0	39	14	30	13	141	328	57	59	127	41
pdam_00000253	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	60032;60877;62504;62952;63540;63854;64693;64862;65531;65890	60410;62118;62555;63083;63629;63931;64755;64932;65629;66537	+;+;+;+;+;+;+;+;+;+	2854	110	137	147	87	124	145	113	141	108	124	159	146	221	216	203	241	287	133	139	6	63	71	110	84	185	192	232	48	267	210	205
pdam_00000254	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	71326;71645;73071;73913;74553;75704;77862;78596;79638;80425;81821;82539;83241;83797;84836;85889;86598;87449;88306	71525;71689;73113;73953;75467;76248;78190;78820;79937;80562;82039;82997;83304;84048;85097;86017;86791;87684;90220	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6511	27	18	21	23	22	15	38	34	18	54	33	44	56	43	56	69	59	42	49	1	16	9	36	23	77	49	70	13	90	59	84
pdam_00000255	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	90081;91510;91985;92124;94338;95621;96525;97838;99618	90949;91561;92011;92436;95196;95779;96872;98608;99924	-;-;-;-;-;-;-;-;-	3705	25	26	23	18	35	19	18	25	13	12	20	13	14	49	40	65	32	26	29	4	16	29	39	20	3	15	37	29	59	49	31
pdam_00000256	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	100688;100811;101630;102128;102795	100704;100942;101732;102229;102863	+;+;+;+;+	423	15947	12330	15579	7355	18235	9577	11329	18228	8578	11426	10781	12312	23289	21975	39834	36073	25400	12110	10940	3142	11563	28406	12810	10924	9749	21911	30830	30680	31270	27478	25846
pdam_00000257	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	103960;106722;107542	104075;106956;107650	+;+;+	460	147	87	143	70	197	59	112	107	52	69	53	79	211	156	183	224	284	202	97	13	93	95	94	102	69	265	214	107	214	149	173
pdam_00000258	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	110665;111902;112316;113939;114677;115242;115447;115791;116504;117468;117812;118520;118831;119403;120122;120338;121924;122780;123366	110853;112006;112358;114014;114721;115294;115520;115837;116594;117556;117875;118617;119116;119740;120187;120503;122271;122893;123464	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2391	748	583	863	267	827	356	435	519	547	354	385	400	859	852	731	921	1064	736	599	66	781	420	481	467	394	781	759	461	1150	800	742
pdam_00000259	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	135405;136465;137173;138253;140178	135671;136652;137724;138309;140451	-;-;-;-;-	1338	115	107	140	70	114	90	92	102	97	91	95	111	198	180	165	161	270	132	148	18	128	72	116	101	111	170	148	85	193	205	191
pdam_00000260	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	141870;142790;143379;143559;143790;144014;144329;144605;144963;145650	142302;143008;143430;143650;143874;144075;144475;144669;145107;145886	-;-;-;-;-;-;-;-;-;-	1537	249	338	498	297	361	490	670	865	177	433	388	623	1149	833	1189	1215	1476	543	885	75	198	932	1150	844	979	968	1139	1008	1610	1628	1636
pdam_00000261	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	146127;146890;148154;149005;149394;149957;150251;150454;150847	146335;148124;148704;149093;149513;150063;150330;150542;150876	-;-;-;-;-;-;-;-;-	2510	307	283	308	231	223	356	464	334	215	279	285	418	651	617	703	826	671	368	406	36	220	323	384	404	331	713	657	349	673	515	565
pdam_00000262	SczhEnG_1415;SczhEnG_1415	146137;146962	146408;147230	+;+	541	31	21	36	16	27	25	14	50	25	16	20	25	53	26	75	60	48	25	26	4	33	31	25	17	26	38	59	30	45	36	57
pdam_00000263	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	152029;152395;152956	152215;152598;153341	+;+;+	777	1	1	4	2	1	4	3	4	5	7	3	4	8	3	7	3	9	6	3	0	1	0	4	4	3	7	7	0	8	2	6
pdam_00000264	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	153441;153749;155096;155625;156010;156307;156643;156980;157834;158250;158598;159166;160484	153488;153949;155306;155749;156135;156492;156745;157102;157979;158324;158705;159860;160751	-;-;-;-;-;-;-;-;-;-;-;-;-	2415	40	32	45	33	52	63	138	64	30	45	41	48	71	87	66	164	97	68	64	6	22	62	56	91	45	140	90	64	117	101	70
pdam_00000265	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	164849;165029;165303	164956;165197;165313	-;-;-	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pdam_00000266	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	165562;165758;165926;166058;166366	165570;165908;166036;166160;166435	+;+;+;+;+	444	1	0	0	0	1	0	0	0	0	0	1	0	0	2	3	0	1	1	0	0	0	2	0	0	0	1	1	0	1	1	0
pdam_00000267	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	171824;172101;174250;175056;175502	171990;172179;174290;175201;175524	+;+;+;+;+	456	4	10	3	2	13	1	4	1	5	4	3	5	3	8	3	8	9	16	4	2	4	0	3	3	6	6	0	2	8	5	7
pdam_00000268	SczhEnG_1415	175944	176909	+	966	27	26	23	6	59	8	15	6	23	17	12	19	24	31	16	40	35	51	16	2	26	5	13	16	9	35	29	9	38	14	24
pdam_00000269	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	177060;179577;180762	178740;180043;181677	+;+;+	3064	423	347	464	232	385	109	220	84	283	271	249	229	289	343	273	375	637	482	217	25	163	88	182	178	236	499	308	143	363	187	255
pdam_00000270	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	182890;183562;184056;184272;186341	183171;183636;184186;185887;186657	-;-;-;-;-	2421	72	118	87	102	172	143	150	226	100	119	186	138	223	249	243	220	223	109	210	15	84	95	115	100	143	194	248	137	267	203	182
pdam_00000271	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	188662;190745;193479	188782;191202;195311	+;+;+	2412	343	437	297	229	247	514	441	282	486	445	638	588	661	822	853	840	813	409	415	33	297	431	572	398	371	778	546	539	942	719	617
pdam_00000272	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	201451;202006;205178;206193;206752;207955;208462;209188;209659;210615;211932;212174;212517;213576;214864;216308	201611;202103;205200;206244;206846;208030;208571;209260;209698;210636;212024;212237;212556;213588;215106;216475	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1371	90	93	104	49	49	58	67	30	47	51	72	54	100	105	86	109	102	108	83	14	34	18	59	64	69	122	76	22	123	69	77
pdam_00000273	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	210165;211787;212644;213332;214239;215047;215386;215666;216067;217392;218064	211274;211838;212722;213423;214356;215174;215430;215692;216748;217496;219012	-;-;-;-;-;-;-;-;-;-;-	3387	228	199	250	126	69	137	153	76	156	143	196	141	313	240	234	237	298	168	111	15	104	53	135	117	160	238	173	62	219	163	158
pdam_00000274	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	216676;217394;218064;218929;219527;220430	216750;217496;218103;219012;219603;220581	+;+;+;+;+;+	531	27	16	26	11	21	14	26	36	17	22	19	24	45	36	34	59	39	16	25	0	28	14	23	18	21	26	39	25	53	46	39
pdam_00000275	SczhEnG_1415;SczhEnG_1415	228451;230251	229825;231709	-;-	2834	225	284	222	171	234	212	220	354	223	278	355	340	563	484	714	680	567	199	339	11	250	272	349	361	410	397	504	296	810	658	743
pdam_00000276	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	232391;232727;236014;236646;236953;237303;237770;238165;238772;239201;239374;240005;240464;241083;241803;242579;243007;243265;244006;244323	232653;232824;236067;236752;237013;237448;237825;238240;238829;239262;239390;240103;240557;241145;241925;242660;243032;243333;244063;244480	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1770	115	117	137	63	157	119	141	210	136	148	171	136	262	297	262	344	303	139	124	7	61	111	150	205	166	224	297	143	333	273	260
pdam_00000277	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	244928;245057;245938	244980;245229;248139	+;+;+	2428	154	189	203	108	97	146	154	197	151	219	311	173	351	329	332	364	370	156	122	9	106	77	150	118	187	260	293	95	332	249	250
pdam_00000278	SczhEnG_1415	247291	248469	-	1179	0	0	1	0	0	0	2	1	1	2	2	3	5	2	0	3	2	2	1	0	0	2	0	1	0	4	1	3	1	3	1
pdam_00000279	SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415;SczhEnG_1415	249436;249754;250458;251364;251650;252251;252778;253119;253781;254038;254833;255570;256284;256975	249660;249895;250480;251526;251737;252351;252806;253288;253812;254168;254963;255622;256487;257844	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2362	530	479	476	343	582	373	371	608	315	292	439	413	884	777	772	728	1195	610	677	51	423	440	517	373	563	733	974	475	956	722	834
